report_date,variable,value
2020-12-24,Daily - Doses Administered,
2020-12-30,Daily - Doses Administered,7847.0
2020-12-31,Daily - Doses Administered,4899.0
2021-01-01,Daily - Doses Administered,5385.0
2021-01-02,Daily - Doses Administered,4304.0
2021-01-03,Daily - Doses Administered,4360.0
2021-01-04,Daily - Doses Administered,4868.0
2021-01-05,Daily - Doses Administered,7611.0
2021-01-06,Daily - Doses Administered,10350.0
2021-01-07,Daily - Doses Administered,12251.0
2021-01-08,Daily - Doses Administered,14932.0
2021-01-09,Daily - Doses Administered,15700.0
2021-01-10,Daily - Doses Administered,9983.0
2021-01-11,Daily - Doses Administered,8859.0
2021-01-12,Daily - Doses Administered,11448.0
2021-01-13,Daily - Doses Administered,11231.0
2021-01-14,Daily - Doses Administered,14237.0
2021-01-15,Daily - Doses Administered,15609.0
2021-01-16,Daily - Doses Administered,14460.0
2021-01-17,Daily - Doses Administered,11007.0
2021-01-18,Daily - Doses Administered,9691.0
2021-01-19,Daily - Doses Administered,14346.0
2021-01-20,Daily - Doses Administered,13784.0
2021-01-21,Daily - Doses Administered,15899.0
2021-01-22,Daily - Doses Administered,11168.0
2021-01-23,Daily - Doses Administered,11161.0
2021-01-24,Daily - Doses Administered,4427.0
2021-01-25,Daily - Doses Administered,5537.0
2021-01-26,Daily - Doses Administered,9707.0
2021-01-27,Daily - Doses Administered,9513.0
2021-01-28,Daily - Doses Administered,11910.0
2021-01-29,Daily - Doses Administered,10215.0
2021-01-30,Daily - Doses Administered,9373.0
2021-01-31,Daily - Doses Administered,2816.0
2021-02-01,Daily - Doses Administered,2256.0
2021-02-02,Daily - Doses Administered,2715.0
2021-02-03,Daily - Doses Administered,3716.0
2021-02-04,Daily - Doses Administered,6724.0
2021-02-05,Daily - Doses Administered,7694.0
2021-02-06,Daily - Doses Administered,9917.0
2021-02-07,Daily - Doses Administered,6518.0
2021-02-08,Daily - Doses Administered,6987.0
2021-02-09,Daily - Doses Administered,12462.0
2021-02-10,Daily - Doses Administered,13486.0
2021-02-11,Daily - Doses Administered,14717.0
2021-02-12,Daily - Doses Administered,15605.0
2021-02-13,Daily - Doses Administered,14506.0
2021-02-14,Daily - Doses Administered,10679.0
2021-02-15,Daily - Doses Administered,7698.0
2021-02-16,Daily - Doses Administered,5053.0
2021-02-17,Daily - Doses Administered,9107.0
2021-02-18,Daily - Doses Administered,12383.0
2021-02-19,Daily - Doses Administered,16967.0
2021-02-20,Daily - Doses Administered,21295.0
2021-02-21,Daily - Doses Administered,16404.0
2021-02-22,Daily - Doses Administered,12922.0
2021-02-23,Daily - Doses Administered,16252.0
2021-02-24,Daily - Doses Administered,17141.0
2021-02-25,Daily - Doses Administered,19112.0
2021-02-26,Daily - Doses Administered,21805.0
2021-02-27,Daily - Doses Administered,24339.0
2021-02-28,Daily - Doses Administered,19167.0
2021-03-01,Daily - Doses Administered,17424.0
2021-03-02,Daily - Doses Administered,22326.0
2021-03-03,Daily - Doses Administered,27398.0
2021-03-04,Daily - Doses Administered,30409.0
2021-03-05,Daily - Doses Administered,35886.0
2021-03-06,Daily - Doses Administered,39698.0
2021-03-07,Daily - Doses Administered,30192.0
2021-03-08,Daily - Doses Administered,21882.0
2021-03-09,Daily - Doses Administered,31047.0
2021-03-10,Daily - Doses Administered,35264.0
2021-03-11,Daily - Doses Administered,40610.0
2021-03-12,Daily - Doses Administered,43503.0
2021-03-13,Daily - Doses Administered,53586.0
2021-03-14,Daily - Doses Administered,41859.0
2021-03-15,Daily - Doses Administered,33198.0
2021-03-16,Daily - Doses Administered,51579.0
2021-03-17,Daily - Doses Administered,58202.0
2021-03-18,Daily - Doses Administered,58119.0
2021-03-19,Daily - Doses Administered,61146.0
2021-03-20,Daily - Doses Administered,60283.0
2021-03-21,Daily - Doses Administered,40823.0
2021-03-22,Daily - Doses Administered,31335.0
2021-03-23,Daily - Doses Administered,50659.0
2021-03-24,Daily - Doses Administered,72451.0
2021-03-25,Daily - Doses Administered,79446.0
2021-03-26,Daily - Doses Administered,82996.0
2021-03-27,Daily - Doses Administered,77740.0
2021-03-28,Daily - Doses Administered,64950.0
2021-03-29,Daily - Doses Administered,50453.0
2021-03-30,Daily - Doses Administered,70645.0
2021-03-31,Daily - Doses Administered,89873.0
2021-04-01,Daily - Doses Administered,84060.0
2021-04-02,Daily - Doses Administered,88183.0
2021-04-03,Daily - Doses Administered,59567.0
2021-04-04,Daily - Doses Administered,69125.0
2021-04-05,Daily - Doses Administered,52452.0
2021-04-06,Daily - Doses Administered,76199.0
2021-04-07,Daily - Doses Administered,104382.0
2021-04-08,Daily - Doses Administered,108563.0
2021-04-09,Daily - Doses Administered,105382.0
2021-04-10,Daily - Doses Administered,104783.0
2021-04-11,Daily - Doses Administered,94794.0
2021-04-12,Daily - Doses Administered,74722.0
2021-04-13,Daily - Doses Administered,95692.0
2021-04-14,Daily - Doses Administered,112817.0
2021-04-15,Daily - Doses Administered,105430.0
2021-04-16,Daily - Doses Administered,115634.0
2021-04-17,Daily - Doses Administered,107278.0
2021-04-18,Daily - Doses Administered,86565.0
2021-04-19,Daily - Doses Administered,66897.0
2021-04-20,Daily - Doses Administered,90409.0
